,sq_mt_built,n_rooms,n_bathrooms,floor,is_floor_under,buy_price,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,distrito_id_num,neighborhood_id_num,neighborhood_price_m2,estimado_metros_por_preciom2
26,75.0,3,1.0,3.0,0,138000,1.0,0,0,1984.0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0.0,0,0,0,1,21.0,134.0,1617.18,121288.5
27,112.0,4,2.0,2.0,0,280000,1.0,0,0,1970.0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0.0,0,1,1,1,21.0,131.0,2197.8,246153.60000000003
28,65.0,3,1.0,1.0,0,150000,1.0,1,0,1976.0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,21.0,133.0,1827.79,118806.35
29,70.0,2,1.0,3.0,0,145900,1.0,0,0,1968.0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0.0,0,0,1,0,21.0,134.0,1617.18,113202.6
30,75.0,1,1.0,1.0,0,92500,1.0,0,0,2008.0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0.0,1,1,1,1,21.0,134.0,1617.18,121288.5
31,123.0,3,2.0,7.0,0,298000,1.0,0,0,2002.0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,21.0,133.0,1827.79,224818.17
32,61.0,3,1.0,2.0,0,99900,1.0,0,0,1970.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,21.0,134.0,1617.18,98647.98
33,72.0,2,1.0,3.0,0,138000,1.0,0,0,1970.0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0.0,0,0,0,0,21.0,134.0,1617.18,116436.96
34,61.0,3,1.0,5.0,0,100000,1.0,0,0,1966.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1,0,1,0,21.0,131.0,2197.8,134065.80000000002
35,71.0,3,1.0,1.0,0,131400,1.0,1,0,1980.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,21.0,134.0,1617.18,114819.78
36,87.0,3,1.0,2.0,0,96000,1.0,1,0,1970.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,21.0,133.0,1827.79,159017.73
37,60.0,2,1.0,1.0,0,154000,1.0,0,0,1970.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0.0,0,0,1,0,21.0,134.0,1617.18,97030.8
38,78.0,4,1.0,2.0,0,146700,1.0,0,0,1970.0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,0,0,1,0,21.0,132.0,1796.68,140141.04
39,52.0,1,1.0,1.0,0,92500,1.0,0,0,1970.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,21.0,133.0,1827.79,95045.08
40,125.0,3,3.0,7.0,0,275000,4.0,0,0,2004.0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0.0,0,0,0,0,21.0,131.0,2197.8,274725.0
41,75.0,0,1.0,1.0,0,83800,0.0,0,0,2008.0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0.0,1,1,1,1,21.0,134.0,1617.18,121288.5
42,97.0,2,2.0,0.5,1,266122,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,21.0,131.0,2197.8,213186.6
43,93.0,2,2.0,7.0,0,228273,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,21.0,131.0,2197.8,204395.4
44,103.0,4,2.0,1.0,0,171900,1.0,0,0,1970.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.0,0,0,0,0,21.0,132.0,1796.68,185058.04
45,83.0,2,2.0,7.0,0,228273,3.0,0,0,2020.0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0.0,0,0,0,0,21.0,131.0,2197.8,182417.4
46,45.0,2,1.0,1.0,0,85000,1.0,1,0,1968.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,21.0,133.0,1827.79,82250.55
47,120.0,3,2.0,7.0,0,298000,1.0,0,0,1970.0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,21.0,133.0,1827.79,219334.8
48,74.0,3,1.0,1.0,0,139000,1.0,0,0,1970.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.0,0,0,1,0,21.0,132.0,1796.68,132954.32
49,125.0,3,2.0,7.0,0,272500,4.0,0,0,2004.0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0.0,0,0,0,0,21.0,131.0,2197.8,274725.0
50,126.0,4,2.0,0.5,1,275000,1.0,0,0,1970.0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0.0,0,0,1,1,21.0,131.0,2197.8,276922.80000000005
51,158.0,3,2.0,4.0,0,289000,3.0,0,0,2003.0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0.0,0,0,0,0,21.0,131.0,2197.8,347252.4
52,65.0,2,1.0,1.0,0,115000,1.0,0,0,1970.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,21.0,133.0,1827.79,118806.35
53,108.0,3,2.0,4.0,0,179000,1.0,0,0,1978.0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,21.0,132.0,1796.68,194041.44
54,62.0,2,1.0,0.5,1,123000,1.0,0,0,1984.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,21.0,134.0,1617.18,100265.16
55,51.0,2,1.0,3.0,0,89500,1.0,1,0,1967.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,1,21.0,133.0,1827.79,93217.29
56,112.0,3,2.0,3.0,0,289000,1.0,0,0,2013.0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0.0,0,0,1,0,21.0,131.0,2197.8,246153.60000000003
57,109.0,3,2.0,2.0,0,216278,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,239560.2
58,107.0,3,2.0,1.0,0,207503,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,235164.6
59,76.0,2,2.0,3.0,0,162793,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,167032.80000000002
60,105.0,3,2.0,1.0,0,204999,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,230769.00000000003
61,109.0,3,2.0,4.0,0,220879,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,239560.2
62,108.0,3,2.0,4.0,0,218258,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,237362.4
63,109.0,3,2.0,0.5,1,231855,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,239560.2
64,76.0,2,2.0,4.0,0,163397,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,167032.80000000002
65,76.0,2,2.0,2.0,0,160759,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,167032.80000000002
66,108.0,3,2.0,3.0,0,217169,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,237362.4
67,76.0,2,2.0,5.0,0,165208,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,167032.80000000002
68,109.0,3,2.0,3.0,0,219775,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,239560.2
69,108.0,3,2.0,0.5,1,230817,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,237362.4
70,108.0,3,2.0,2.0,0,213722,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,237362.4
71,111.0,2,2.0,6.0,0,230749,3.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,243955.8
72,115.0,3,2.0,2.0,0,233789,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,252747.00000000003
73,115.0,3,2.0,1.0,0,230789,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,252747.00000000003
74,117.0,3,2.0,1.0,0,244171,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,257142.60000000003
75,117.0,3,2.0,1.0,0,243468,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,257142.60000000003
76,117.0,3,2.0,1.0,0,244798,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,257142.60000000003
77,118.0,3,2.0,1.0,0,219235,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,259340.4
78,115.0,3,2.0,5.0,0,242789,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,252747.00000000003
79,97.0,4,1.0,3.0,0,130000,1.0,0,0,1970.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,21.0,134.0,1617.18,156866.46
80,106.0,3,2.0,3.0,0,251569,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,21.0,131.0,2197.8,232966.8
81,103.0,3,2.0,3.0,0,235402,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,21.0,131.0,2197.8,226373.4
82,103.0,3,2.0,1.0,0,235172,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,21.0,131.0,2197.8,226373.4
83,103.0,3,2.0,5.0,0,236227,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,21.0,131.0,2197.8,226373.4
84,114.0,3,2.0,2.0,0,254710,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,21.0,131.0,2197.8,250549.2
85,150.0,2,1.0,1.0,0,159000,2.0,1,0,1993.0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0.0,0,0,0,0,21.0,134.0,1617.18,242577.0
86,140.0,3,3.0,7.0,0,272500,4.0,0,0,2004.0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0.0,0,0,1,0,21.0,131.0,2197.8,307692.0
87,58.0,3,1.0,2.0,0,85000,1.0,0,0,1951.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,21.0,133.0,1827.79,106011.82
88,65.0,3,1.0,1.0,0,94000,1.0,0,0,1970.0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,1,21.0,135.0,1308.89,85077.85
89,110.0,4,2.0,1.0,0,175000,1.0,0,0,1978.0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0.0,0,0,0,0,21.0,133.0,1827.79,201056.9
90,173.0,4,2.0,2.0,0,268000,1.0,0,0,2003.0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0.0,1,0,1,0,21.0,131.0,2197.8,380219.4
91,75.0,2,1.0,3.0,0,156000,3.0,0,0,1970.0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0.0,0,0,0,0,21.0,134.0,1617.18,121288.5
92,90.0,1,1.0,7.0,0,183159,3.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,197802.00000000003
93,125.0,3,2.0,1.0,0,210000,1.0,0,0,1996.0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0.0,0,0,0,0,21.0,133.0,1827.79,228473.75
94,58.0,2,1.0,0.5,1,85000,1.0,0,0,1968.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,21.0,134.0,1617.18,93796.44
95,92.0,3,1.0,6.0,0,159900,1.0,0,0,1962.0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,21.0,132.0,1796.68,165294.56
96,70.0,2,1.0,3.0,0,117000,1.0,0,0,1975.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0,1,0,1,0,21.0,134.0,1617.18,113202.6
97,54.0,2,1.0,2.0,0,110000,1.0,0,0,1960.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,1,0,21.0,134.0,1617.18,87327.72
98,52.0,2,1.0,1.0,0,100000,1.0,0,0,1970.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,21.0,133.0,1827.79,95045.08
99,108.0,3,1.0,2.0,0,140000,1.0,0,0,1995.0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.0,0,1,0,1,21.0,134.0,1617.18,174655.44
100,65.0,2,1.0,3.0,0,106500,1.0,0,0,1963.0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.0,0,0,1,0,21.0,133.0,1827.79,118806.35
101,102.0,3,2.0,3.0,0,127500,1.0,0,0,1964.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,1,0,0,21.0,133.0,1827.79,186434.58
102,80.0,2,1.0,3.0,0,148000,1.0,0,0,1999.0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0.0,0,0,0,1,21.0,134.0,1617.18,129374.4
103,108.0,2,1.0,4.0,0,205000,4.0,0,0,2002.0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,1,21.0,131.0,2197.8,237362.4
104,80.0,3,2.0,4.0,0,220000,1.0,0,0,2000.0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0.0,0,0,1,1,21.0,133.0,1827.79,146223.2
105,16.0,3,1.0,1.0,0,114000,1.0,0,0,1970.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,1,1,21.0,133.0,1827.79,29244.64
106,54.0,2,1.0,3.0,0,89900,1.0,0,0,1964.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.0,0,0,1,1,21.0,134.0,1617.18,87327.72
107,70.0,2,2.0,4.0,0,210000,1.0,0,0,2003.0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0.0,0,1,1,0,21.0,133.0,1827.79,127945.3
108,99.0,2,2.0,0.5,1,145000,1.0,0,0,2007.0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0,1,1,0,21.0,134.0,1617.18,160100.82
109,123.0,4,2.0,3.0,0,275000,1.0,0,0,1970.0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0.0,0,0,0,0,21.0,133.0,1827.79,224818.17
110,64.0,3,1.0,5.0,0,104000,1.0,0,0,1970.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,21.0,132.0,1796.68,114987.52
111,107.0,3,2.0,6.0,0,228629,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,235164.6
112,76.0,2,2.0,6.0,0,169021,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,167032.80000000002
113,109.0,3,2.0,5.0,0,223022,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,239560.2
114,108.0,3,2.0,5.0,0,220072,1.0,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,237362.4
115,103.0,3,2.0,6.0,0,235718,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,21.0,131.0,2197.8,226373.4
116,103.0,3,2.0,1.0,0,245000,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,226373.4
117,143.0,3,2.0,0.5,1,260000,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0.0,0,0,0,0,21.0,131.0,2197.8,314285.4
118,99.0,3,2.0,6.0,0,235000,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,217582.2
119,100.0,3,2.0,3.0,0,235000,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,219780.00000000003
120,176.0,2,2.0,6.0,0,265000,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,386812.8000000001
121,87.0,2,2.0,2.0,0,190000,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,21.0,131.0,2197.8,191208.6
122,106.0,3,2.0,4.0,0,256115,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,21.0,131.0,2197.8,232966.8
123,113.0,3,2.0,0.5,1,261989,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,21.0,131.0,2197.8,248351.4
124,115.0,3,2.0,1.0,0,273353,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,21.0,131.0,2197.8,252747.00000000003
125,129.0,3,2.0,7.0,0,297621,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,21.0,131.0,2197.8,283516.2
126,115.0,3,2.0,6.0,0,279778,1.0,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,21.0,131.0,2197.8,252747.00000000003
127,110.0,2,2.0,0.5,1,135000,1.0,1,0,1970.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0.0,0,0,0,0,21.0,134.0,1617.18,177889.80000000002
128,90.0,3,2.0,2.0,0,195000,1.0,0,0,1985.0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0.0,0,0,0,0,21.0,132.0,1796.68,161701.2
129,60.0,2,1.0,1.0,0,126900,1.0,1,0,1970.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,21.0,133.0,1827.79,109667.4
130,54.0,2,1.0,1.0,0,136400,1.0,0,0,1970.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,21.0,132.0,1796.68,97020.72
131,80.0,3,1.0,0.5,1,145000,1.0,0,0,1970.0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,1,21.0,134.0,1617.18,129374.4
132,73.0,2,1.0,1.0,0,127500,1.0,0,0,1999.0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0.0,0,1,0,1,21.0,134.0,1617.18,118054.14
133,122.0,3,2.0,0.5,1,179000,1.0,0,0,1999.0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0.0,0,1,1,0,21.0,134.0,1617.18,197295.96
134,98.0,3,2.0,0.5,1,266122,1.0,0,0,2020.0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0.0,0,1,0,0,21.0,131.0,2197.8,215384.4
135,97.0,3,2.0,0.5,1,261989,1.0,0,0,2020.0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0.0,0,0,0,0,21.0,131.0,2197.8,213186.6
136,111.0,3,2.0,7.0,0,297621,3.0,0,0,2020.0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0.0,0,0,0,0,21.0,131.0,2197.8,243955.8
137,99.0,3,2.0,3.0,0,251569,1.0,0,0,2020.0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0.0,0,1,0,0,21.0,131.0,2197.8,217582.2
138,77.0,3,1.0,1.0,0,113500,1.0,1,0,1968.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,21.0,133.0,1827.79,140739.83
139,85.0,3,1.0,4.0,0,138000,1.0,0,0,1966.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,21.0,134.0,1617.18,137460.30000000002
140,90.0,3,2.0,2.0,0,225000,1.0,0,0,1970.0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0.0,0,0,0,0,21.0,131.0,2197.8,197802.00000000003
141,133.0,2,1.0,6.0,0,264000,1.0,0,0,2003.0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0.0,0,0,0,0,21.0,133.0,1827.79,243096.07
142,60.0,3,1.0,2.0,0,98260,1.0,0,0,1960.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,21.0,133.0,1827.79,109667.4
143,133.0,3,3.0,7.0,0,275000,1.0,0,0,2004.0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0.0,0,0,0,0,21.0,131.0,2197.8,292307.4
144,85.0,2,1.0,2.0,0,124000,1.0,0,0,1967.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,1,1,21.0,134.0,1617.18,137460.30000000002
145,59.0,2,2.0,3.0,0,164513,1.0,0,1,1970.0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0.0,0,0,0,0,21.0,132.0,1796.68,106004.12
